Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
MPDZ,Alcohol,NM_001261406,xm_015117695.1,nm_001305286.1,xm_006238343.3,xm_019796074.1,xm_012453525.1,xm_010807813.2,xm_008996981.2,xm_010988176.1,xm_531935.5,xm_018051965.1,xm_013155015.1,xm_014792412.1,xm_012056422.1,xm_013516322.1,xm_007969238.1,xm_006864508.1,xm_004677661.2,xm_007649015.2,xm_012527419.1,xm_013020753.1,xm_004706529.1,xm_006881297.1,xm_008145016.1,xm_014735568.1,xm_007531595.2,xm_011288335.2,xm_008588411.1,xm_019033955.1,xm_004838296.1,xm_013359848.1,xm_012948754.1,xm_010587946.1,xm_005581727.2,xm_011753789.1,xm_011967899.1,xm_017678913.1,xm_013122085.1,xm_012769626.2,xm_013348248.1,xm_016214227.1,xm_016424257.1,xm_013063099.1,xm_017802140.1,xm_003260432.2,xm_004581101.1,xm_012514861.1,xm_012568215.1,xm_004276131.1,xm_008254787.2,xm_003782881.2,xm_012125782.2,xm_003804931.2,xm_003311996.4,xm_009188758.2,xm_002819788.3,xm_012665003.1,xm_011365290.1,xm_010383159.1,xm_016162954.1,xm_010338749.1,xm_012931896.1,xm_013993568.1,xm_004373496.2,xm_006163844.2,xm_019934835.1
MPO,6,NM_000250,xm_001103896.3,nm_010824.2,xm_006247095.2,xm_019810086.1,xm_012445494.1,xm_005219888.3,xm_017969316.1,xm_010990399.1,xm_847352.3,xm_018063571.1,xm_003467011.3,xm_004434770.2,xm_012054935.1,xm_005394030.2,xm_008011329.1,xm_006833637.1,xm_004684414.2,xm_007639987.1,xm_004461303.1,xm_013013171.1,xm_013005760.1,xm_006889448.1,xm_008147726.1,xm_014741434.1,xm_007536133.2,nm_001122746.2,xm_008571257.1,xm_004041272.2,xm_013067643.1,xm_005321585.2,xm_004669962.1,xm_003414378.2,xm_005583826.2,xm_011733026.1,xm_011979209.1,xm_017660462.1,xm_013117644.1,xm_012763693.1,xm_005350496.1,xm_016210703.1,xm_007481871.1,xm_004747318.1,xm_017800493.1,xm_003272305.3,xm_004591200.1,xm_004645257.1,xm_004397632.2,xm_004271772.1,xm_017349087.1,xm_003795642.2,xm_012185170.2,xm_003817387.1,xm_009432909.2,xm_003912810.3,xm_002827326.2,xm_012648454.1,xm_011375087.1,xm_010372931.1,xm_016123118.1,xm_003929107.2,xm_004608876.1,xm_003131655.2,xm_004377883.2,xm_006154682.1,xm_019945280.1
MPZ,Alcohol,NM_000530,nm_001321055.1,nm_001315499.1,nm_017027.2,xm_002928732.3,xm_012449601.1,nm_001079507.2,xm_002807702.3,xm_010993033.1,xm_545771.5,xm_005677158.2,xm_003466594.3,xm_004443696.2,xm_012067504.1,xm_005400277.2,xm_007976396.1,xm_006861678.1,xm_004688408.2,xm_007627635.2,xm_004448322.1,xm_013030691.1,xm_004716541.1,xm_006895494.1,xm_008153079.1,nm_001081894.2,xm_007537426.2,xm_003999560.3,xm_008580187.1,xm_004027769.2,xm_004858652.1,xm_005341855.1,xm_004671150.1,xm_003415204.2,xm_005541182.2,xm_011770179.1,xm_011976021.1,xm_017678156.1,xm_005087781.2,xm_012768587.1,xm_005348790.2,xm_016210471.1,xm_001381678.3,xm_004775945.2,xm_008847981.1,xm_003258759.2,xm_004589113.1,xm_004639896.1,xm_004407917.1,xm_004284392.1,xm_008264187.2,xm_003785764.1,xm_004003721.3,xm_003811824.1,xm_001173975.4,xm_003892969.2,xm_002809887.1,xm_012639520.1,xm_011374196.1,xm_010367144.1,xm_016134087.1,xm_003937989.2,xm_004613749.2,xm_001925003.5,xm_004390162.1,xm_006162044.1,xm_004314126.2
MST1,Alcohol,NM_020998,xm_001107946.3,nm_008243.3,nm_024352.1,xm_011226638.2,xm_012467742.1,xm_005222804.3,xm_002758352.3,xm_010978356.1,xm_541884.5,xm_018066658.1,xm_013159658.1,xm_004419708.2,xm_012033729.1,xm_005410212.2,xm_007984257.1,xm_006873597.1,xm_004676158.2,xm_003500347.3,xm_012522686.1,xm_013028092.1,xm_004715165.1,xm_006892901.1,xm_008155575.1,xm_005600659.1,xm_007527254.2,xm_003982231.4,xm_008571559.1,xm_004034156.2,xm_004834046.1,xm_013359470.1,xm_004664241.1,xm_003409876.2,nm_001319531.1,xm_011739354.1,xm_011980892.1,xm_017654090.1,xm_005074918.2,xm_012771301.2,xm_005347885.2,xm_016202769.1,xm_007499861.2,xm_004760640.2,xm_017803197.1,xm_003257075.2,xm_004581758.2,xm_004625102.1,xm_004399247.1,xm_004283954.1,xm_008260652.2,xm_003800594.2,xm_012100056.2,xm_014344226.1,xm_016941108.1,xm_003894414.2,xm_002813744.3,xm_012660803.1,xm_011375430.1,xm_010369657.1,xm_016149952.1,xm_003936655.1,xm_004615243.1,xm_003132215.3,xm_004368537.1,xm_006170950.2,xm_004314807.2
MT1X,5,NM_005952,nm_001301313.1,nm_008630.2,nm_001137564.1,xm_002912253.3,xm_012447916.1,nm_001114857.2,xm_008985911.2,xm_010996090.1,xm_003433831.3,xm_005691999.2,xm_003472082.3,xm_004431629.2,xm_012065516.1,xm_005388357.2,xm_007993381.1,xm_006863540.1,xm_004693582.2,nm_001244577.1,xm_004456562.2,xm_013028020.1,xm_004716103.1,xm_006884685.1,xm_008152317.1,xm_003364602.3,xm_007520115.2,xm_003998055.4,xm_008573339.1,xm_004057680.2,xm_004875522.2,xm_005318199.2,xm_004670745.1,xm_003416302.2,xm_005591990.2,xm_011762152.1,xm_011971897.1,xm_017648475.1,xm_005079129.2,xm_012755954.2,xm_005345613.2,xm_016221016.1,xm_001364931.3,xm_004744215.2,xm_008852742.2,xm_003263083.2,xm_004583870.2,xm_004639869.1,xm_004395805.2,xm_004272467.1,xm_008257316.2,xm_003792556.2,xm_004014999.2,xm_003823769.2,nm_001301279.1,xm_003916903.2,xm_002826449.2,xm_012657434.1,xm_011360130.1,xm_010365452.1,xm_016124108.1,xm_003943462.2,xm_012932826.1,xm_013988536.1,xm_004371566.1,xm_006148396.2,xm_004322332.2
MT2A,Alcohol,NM_005953,nm_001301287.1,nm_008630.2,nm_001137564.1,xm_002912252.3,xm_012447917.1,nm_001114857.2,xm_002760984.4,xm_010996098.1,nm_001003149.1,xm_005691999.2,xm_003472084.3,xm_004431629.2,xm_012065719.1,xm_005388355.2,xm_007983037.1,xm_006863540.1,xm_004693580.2,nm_001244577.1,xm_004456562.2,xm_013027905.1,xm_004711887.1,xm_006884685.1,xm_008152319.1,xm_003364597.2,xm_007520118.2,xm_003998055.4,xm_008573329.1,xm_004057674.2,xm_004875522.2,xm_005318199.2,xm_004670745.1,xm_003416302.2,xm_005591970.2,xm_011762167.1,xm_011971876.1,xm_017648475.1,nm_001281882.1,xm_012755955.2,xm_005345614.2,xm_016221015.1,xm_001364931.3,xm_013052135.1,xm_008852742.2,xm_003263074.2,xm_004583870.2,xm_004639869.1,xm_004395805.2,xm_004272467.1,xm_017342233.1,xm_003792554.2,xm_004014999.2,xm_003823767.2,nm_001252594.1,xm_003916904.2,nm_001133593.2,xm_012657433.1,xm_011360128.1,xm_010365441.1,xm_016124108.1,xm_003943458.2,xm_012932826.1,xm_003355808.3,xm_004371566.1,xm_006148396.2,xm_004322332.2
NAPA,Opiods,NM_003827,nm_001194588.1,nm_025898.3,nm_080585.1,xm_002923038.3,xm_012446605.1,nm_001192487.2,xm_003735618.3,xm_010991683.1,xm_847061.4,xm_018062678.1,xm_003464611.3,xm_004440198.2,xm_012080684.1,xm_005413880.2,xm_007997363.1,xm_006868233.1,xm_004694240.2,xm_016970995.1,xm_004476394.1,xm_013032741.1,xm_004710404.1,xm_006898638.1,xm_008154420.1,xm_001503216.5,xm_007535646.2,xm_003997614.4,xm_008586044.1,xm_019015606.1,xm_004867044.2,xm_005336583.2,xm_004672774.1,xm_003406739.2,nm_001287650.1,xm_011736102.1,xm_011969849.1,xm_017640707.1,xm_005086447.2,xm_012761559.1,xm_005361065.2,xm_016216737.1,xm_001364676.3,xm_004767468.2,xm_008822194.1,xm_012496672.1,xm_004597026.1,xm_004644267.1,xm_004400920.2,xm_004271110.1,xm_002722871.3,xm_003799557.2,xm_015100619.1,xm_003814109.2,nm_001246629.1,xm_003915793.3,xm_009232825.1,xm_012653378.1,xm_011378166.1,xm_010377397.1,xm_016155398.1,xm_003940292.2,xm_004607701.1,nm_001244384.1,xm_004381615.2,xm_006142125.2,xm_019927562.1
NDUFS1,4,NM_001199981,xm_015110781.1,xm_006495952.3,nm_001005550.1,xm_011226552.2,xm_012446188.1,xm_005202713.3,xm_002749679.4,xm_010992054.1,xm_005640574.2,xm_005676414.3,xm_005005764.2,xm_014784758.1,xm_012047924.1,xm_005396998.2,xm_007965975.1,xm_006861946.1,xm_004674354.2,xm_016975457.1,xm_004454666.2,xm_013009267.1,xm_004701560.1,xm_006889119.1,xm_008145243.1,xm_001505117.4,xm_007520193.2,xm_006935489.3,xm_008591655.1,xm_019021613.1,xm_004851344.2,xm_013362784.1,xm_004653709.2,xm_010602336.1,nm_001283223.1,xm_011718366.1,xm_011993917.1,xm_017669008.1,xm_005070577.2,xm_012738859.2,xm_005361489.1,xm_016196698.1,xm_007501873.2,xm_013062316.1,xm_008846177.2,xm_003253979.3,xm_004576902.2,xm_004626640.2,xm_004407490.1,xm_004262810.1,xm_002712574.3,xm_003785005.2,xm_004004855.2,xm_008974240.1,xm_009444076.2,xm_003907848.3,nm_001132544.1,xm_012661201.1,xm_011369678.1,xm_010352646.1,xm_016135083.1,xm_010336508.1,xm_004601303.1,xm_005672116.2,xm_004378263.2,xm_006142455.2,xm_019939066.1
NDUFV2,3,NM_021074,nm_001257585.1,nm_028388.3,nm_031064.2,xm_002917587.3,xm_012446795.1,nm_174565.3,xm_002757058.3,xm_010977009.1,xm_537328.4,xm_018039385.1,xm_003464455.3,xm_004421083.2,xm_012045942.1,xm_013516007.1,xm_007974645.1,xm_006868712.1,xm_004683745.2,xm_007649026.2,xm_012523559.1,xm_013036397.1,xm_004714064.1,xm_006891416.1,xm_008159852.1,xm_005612918.2,xm_007517159.2,xm_003995021.4,xm_008589827.1,xm_019014676.1,xm_004853225.2,xm_005337012.2,xm_004656844.2,xm_010586846.1,xm_005587171.2,xm_011736593.1,xm_011983914.1,xm_017671894.1,xm_005077163.2,xm_020282247.1,xm_005361321.2,xm_016208909.1,xm_007487706.1,xm_004742714.2,xm_008834669.1,xm_003262073.2,xm_004579725.2,xm_004645045.1,xm_004414364.2,xm_004275953.2,xm_002713582.3,xm_003801000.2,xm_015103655.1,xm_003809325.2,xm_009436191.2,xm_003914165.2,xm_002828042.3,xm_012648371.1,xm_011366164.1,xm_010373409.1,xm_016120907.1,xm_003924840.2,xm_004611797.2,nm_001097475.2,xm_004385788.1,xm_006164019.2,xm_019920749.1
NEF3,4,NM_001105541,xm_015144993.1,nm_008691.2,nm_017029.2,xm_002914440.3,xm_012435338.1,nm_001244145.1,xm_017963682.1,xm_010995785.1,xm_543237.5,xm_013966130.2,xm_003479359.3,xm_004433574.2,xm_012045720.1,xm_005373708.2,xm_007961953.1,xm_006864379.1,xm_004685389.2,xm_007609108.1,xm_004454249.1,xm_013034431.1,xm_004707610.1,xm_006884845.1,xm_008151465.1,xm_001915049.3,xm_007528886.2,xm_011281445.2,xm_008589414.1,xm_004046795.2,xm_013073464.1,xm_005339897.1,xm_004665817.1,xm_003412470.2,xm_005562860.2,xm_011741914.1,xm_011968837.1,xm_017673495.1,xm_005075222.2,xm_012782109.2,xm_005355463.1,xm_016214182.1,xm_007477824.2,xm_004763251.2,xm_008850620.1,xm_012508450.1,xm_004579062.2,xm_004630668.1,xm_004414131.1,xm_004270671.2,xm_002709311.4,xm_003793960.2,xm_004004180.3,xm_008977209.2,xm_016959243.1,xm_009212722.2,xm_009243633.1,xm_012663025.1,xm_011360289.1,xm_010378156.1,xm_016148174.1,xm_010347745.1,xm_004619150.2,xm_005670439.2,xm_004382160.1,xm_006153260.1,xm_004322216.2
NEFH,4,NM_021076,xm_015150033.1,nm_010904.3,nm_012607.2,xm_011220216.2,xm_012464946.1,xm_005218121.2,xm_017964830.1,xm_010992299.1,xm_005636008.2,xm_018061020.1,xm_003478333.3,xm_014787012.1,xm_012037762.1,xm_013520291.1,xm_007975329.1,xm_006869216.1,xm_012731070.1,xm_007645851.1,xm_004461749.1,xm_013014266.1,xm_004715350.2,xm_006890493.1,xm_008142824.1,xm_014741981.1,xm_016191075.1,xm_011287733.2,xm_008575546.1,xm_019018005.1,xm_004843404.2,xm_005336052.2,xm_004664046.1,xm_010598823.1,xm_015457323.1,xm_011750686.1,xm_011995715.1,xm_017647813.1,xm_005068937.2,xm_020283016.1,xm_013353349.1,xm_016198643.1,xm_007490511.2,xm_004766476.2,xm_008841092.1,xm_003258049.3,xm_012928900.1,xm_004628049.1,xm_004400075.1,xm_004283753.1,xm_008274638.2,xm_012805196.1,xm_004017461.3,xm_008964384.1,xm_016938911.1,xm_009217044.1,xm_002830990.3,xm_012644098.1,xm_011373363.1,xm_010359371.1,xm_016164333.1,xm_010349251.1,xm_012934289.1,xm_013983009.1,xm_004387602.1,xm_014587599.1,xm_019950129.1
NEFL,3,NM_006158,nm_001265845.2,nm_010910.1,nm_031783.1,xm_019794347.1,xm_012435283.1,nm_174121.1,xm_002756830.3,xm_010995772.1,xm_003639880.3,xm_005684017.3,xm_003479360.3,xm_014789933.1,xm_012045717.1,xm_005373709.2,xm_007961954.1,xm_006864378.1,xm_004685388.2,xm_003496188.2,xm_004454242.2,xm_013034393.1,xm_004707610.1,xm_006884846.1,xm_008151464.1,xm_005607689.2,xm_007528885.2,xm_003984682.4,xm_008589413.1,xm_004046797.2,xm_013073473.1,xm_005343014.2,xm_004665820.2,xm_010592367.1,xm_005562862.2,xm_011741913.1,xm_011968838.1,xm_017673494.1,xm_013117217.1,xm_012782122.1,xm_005355464.2,xm_016214184.1,xm_007477823.1,xm_004763250.2,xm_017802695.1,xm_003272882.2,xm_004599880.1,xm_004630670.2,xm_004414133.2,xm_004270672.1,xm_008249462.2,xm_003794024.2,xm_015093090.1,xm_003823564.2,xm_519665.5,xm_003902553.2,nm_001133022.2,xm_012662995.1,xm_011360290.1,xm_010378155.1,xm_016148173.1,xm_003937184.2,xm_004619148.1,nm_001244331.1,xm_004382161.1,xm_006153256.1,xm_019941398.1
NELL2,Alcohol,NM_001145107,xm_015151473.1,xm_011245693.1,nm_031070.2,xm_011232841.2,xm_012459076.1,nm_001102084.1,xm_002752351.4,xm_010989573.1,xm_005636954.2,xm_005680058.3,xm_003476087.3,xm_004428919.2,xm_012048598.1,xm_005406591.2,xm_008002947.1,xm_006865319.1,xm_004675947.2,xm_007629074.2,xm_004447895.1,xm_013018840.1,xm_004711440.1,xm_006888180.1,xm_008140581.1,xm_001914761.4,xm_016188843.1,xm_019834835.1,xm_008580521.1,xm_019039051.1,xm_004863159.2,xm_005325096.2,xm_004668535.2,xm_010595999.1,xm_005570625.2,xm_011721849.1,xm_011971995.1,xm_017662794.1,xm_005066901.2,xm_012747980.2,xm_005354010.1,xm_016201161.1,xm_007503882.1,xm_013063032.1,xm_008826521.2,xm_012510715.1,xm_004597863.1,xm_004638585.1,xm_004395988.2,xm_012534599.1,xm_008259364.2,xm_012807497.1,xm_004006428.3,xm_003825751.2,xm_016923590.1,xm_009180558.2,nm_001135441.1,xm_012643490.1,xm_011368178.1,xm_010370960.1,xm_016146451.1,xm_010352265.1,xm_004617056.2,xm_005664156.2,xm_004384561.1,xm_006168557.2,xm_019934581.1
NET1,Alcohol,NM_001047160,xm_015146382.1,nm_019671.3,xm_006254206.3,xm_002920343.3,xm_012443442.1,xm_010811281.1,xm_002750012.3,xm_010982851.1,xm_544275.5,xm_018057302.1,xm_003473429.3,xm_004425396.2,xm_012085726.1,xm_005383837.2,xm_008002149.1,xm_006862733.1,xm_004691218.2,xm_007654742.2,xm_004477373.2,xm_013009407.1,xm_013007251.1,xm_006903740.1,xm_008155348.1,xm_001500107.5,xm_007526579.2,xm_019833888.1,xm_008585693.1,xm_019035198.1,xm_004854512.2,xm_005320314.2,xm_004662402.1,xm_003410600.2,xm_005564552.1,xm_011762754.1,xm_011974930.1,xm_017645922.1,xm_013114627.1,xm_012741253.2,xm_013349030.1,xm_016219761.1,xm_001374355.4,xm_004757923.1,xm_008836847.2,xm_003257600.3,xm_004588487.2,xm_004635311.1,xm_004411821.2,xm_004281684.2,xm_002721685.3,xm_012803358.1,xm_012188596.2,xm_003827784.1,xm_507633.5,xm_009213907.1,xm_009245090.1,xm_012664900.1,xm_011370790.1,xm_010366489.1,xm_016127993.1,xm_010349700.1,xm_004605451.1,xm_013980344.1,xm_004379720.1,xm_006158464.2,xm_019933196.1
NF1,3,NM_000267,xm_015119007.1,xm_006532440.3,nm_012609.1,xm_019806389.1,xm_012449430.1,nm_001122728.1,xm_002748206.4,xm_010979010.1,xm_014116492.1,xm_018064270.1,xm_013152061.1,xm_004441910.2,xm_012067864.1,xm_005402799.2,xm_008010961.1,xm_006874228.1,xm_004685158.2,xm_016967666.1,xm_012528661.1,xm_013016448.1,xm_004706939.1,xm_006891069.1,xm_008147786.1,xm_014741967.1,xm_007530811.2,xm_019817495.1,xm_008589180.1,xm_019026908.1,xm_013067750.1,xm_013359752.1,xm_004664589.2,xm_003414525.2,xm_005583363.2,xm_011747440.1,xm_011993098.1,xm_017661384.1,xm_005077086.2,xm_020280941.1,xm_005349426.1,xm_016207629.1,xm_016429243.1,xm_013053461.1,xm_008821613.2,xm_003280199.2,xm_004593895.2,xm_004635435.1,xm_004399627.2,xm_004267159.2,xm_002718937.3,xm_003797210.2,xm_015098531.1,xm_003811980.2,xm_001174734.4,xm_003912563.3,xm_002827226.3,xm_012648327.1,xm_011360010.1,xm_010383837.1,xm_016119150.1,xm_010342101.1,xm_012935701.1,xm_003131755.5,xm_004385390.1,xm_006154373.2,xm_019927156.1
NFIA,2,NM_001134673,xm_015140912.1,nm_010905.3,nm_012988.2,xm_019804799.1,xm_012442491.1,xm_005204523.3,xm_009001349.1,xm_010988584.1,xm_014113734.1,xm_005678336.3,xm_013142882.1,xm_014788348.1,xm_012082429.1,xm_013514428.1,xm_007978526.1,xm_006862482.1,xm_004679057.2,xm_003497605.3,xm_012519027.1,xm_013022282.1,xm_004699383.1,xm_006879776.1,xm_008139377.1,xm_005610575.2,xm_007522724.2,xm_003990146.4,xm_008563311.1,xm_004025889.2,xm_013071045.1,xm_013358910.1,xm_004663198.1,xm_010591225.1,xm_005543216.2,xm_011764420.1,xm_011973873.1,xm_017651074.1,xm_005074315.2,xm_020289044.1,xm_005353437.2,xm_016205904.1,xm_007480487.2,xm_013055652.1,xm_008844432.2,xm_003265156.2,xm_004588720.2,xm_004633954.1,xm_004411272.2,xm_012537372.1,xm_017346248.1,xm_012807186.1,xm_004002027.3,xm_008961346.2,xm_009459058.2,xm_017961993.1,nm_001133303.1,xm_012639454.1,xm_011369530.1,xm_010370666.1,xm_016140371.1,xm_003921491.2,xm_004607099.1,xm_013988895.1,xm_004368997.1,xm_006147506.2,xm_019942357.1
NFIB,1,NM_001190737,xm_001111171.3,nm_001286127.1,xm_017593199.1,xm_011220639.2,xm_012453513.1,nm_001076104.2,xm_002742937.3,xm_010988175.1,xm_014117764.1,xm_018051955.1,xm_013155050.1,xm_004436795.2,xm_012056413.1,xm_013516302.1,xm_007969219.1,xm_006864487.1,xm_004677666.2,xm_007642348.1,xm_012526168.1,xm_013020810.1,xm_004706534.1,xm_006881292.1,xm_008145019.1,xm_005605014.2,xm_016193708.1,xm_019815967.1,xm_008579235.1,xm_004047813.2,xm_004838302.1,xm_005327988.2,xm_004658444.1,xm_003407677.2,xm_005581715.2,xm_011753774.1,xm_011990843.1,xm_017675872.1,xm_013122064.1,xm_012769637.2,xm_005352674.2,xm_016214317.1,xm_007499575.2,xm_013063083.1,xm_008848832.2,xm_003260428.3,xm_004581096.2,xm_004631713.2,xm_012563643.1,xm_004276125.1,xm_008254707.2,xm_012813747.1,nm_001267879.1,xm_003822628.2,xm_016960609.1,xm_003911707.3,xm_009244446.1,xm_012665039.1,xm_011365297.1,xm_010354678.1,xm_016157319.1,xm_003928156.2,xm_004600159.1,xm_005660096.2,xm_012554698.1,xm_006163842.2,xm_019934840.1
NFKBIA,5,NM_020529,nm_001257750.1,nm_010907.2,nm_001105720.2,xm_002922817.3,xm_012468975.1,nm_001045868.1,xm_002753821.3,xm_010983796.1,xm_537413.5,xm_018066509.1,xm_003471879.3,xm_004436404.2,xm_012067128.1,xm_005376922.2,xm_007986484.1,xm_006835343.1,xm_004681935.2,xm_007634902.2,xm_012529678.1,xm_013012239.1,xm_004698533.1,xm_006891578.1,xm_008158980.1,xm_005603476.1,xm_007530241.2,xm_003987542.4,xm_008573887.1,xm_004055083.2,xm_004867556.2,xm_005322683.1,xm_004649119.1,xm_003408860.2,nm_001284932.1,xm_011734904.1,xm_011995035.1,xm_017669128.1,xm_005080507.2,xm_012736512.1,xm_005343723.1,xm_016198461.1,xm_001365831.4,xm_004773338.2,xm_008832909.2,xm_003263710.3,xm_004584760.2,xm_004637084.2,xm_004399799.2,xm_004269970.1,xm_002718142.3,xm_003791968.2,nm_001166184.1,xm_008974671.2,xm_522823.5,xm_003901707.3,xm_002824674.2,xm_012658239.1,xm_011376668.1,xm_010385527.1,xm_016152089.1,xm_003924203.2,xm_004612120.1,nm_001005150.1,xm_004376510.1,xm_006152374.2,xm_004319561.2
NKX2-2,Alcohol,NM_002509,xm_001094853.3,nm_010919.2,xm_017591951.1,xm_002923107.3,xm_012463435.1,xm_015474031.1,xm_002747491.3,xm_010994762.1,xm_542867.5,xm_018057270.1,xm_003476445.3,xm_004441950.2,xm_012051912.1,xm_005380954.1,xm_007961634.1,xm_006860653.1,xm_004687136.2,xm_007626628.1,xm_004447760.2,xm_013027069.1,xm_004716944.1,xm_006895656.1,xm_008141136.1,xm_001489173.3,xm_007525429.2,xm_003983828.3,xm_008593880.1,xm_004061885.2,xm_004840902.1,xm_005334609.1,xm_004668742.1,xm_003411705.2,xm_015457737.1,xm_011749836.1,xm_011967595.1,xm_017663570.1,nm_001310552.1,xm_012739213.1,xm_005365488.2,xm_016211957.1,xm_001373919.2,xm_004754120.1,xm_008841249.1,xm_003268248.1,xm_004585649.1,xm_004635583.1,xm_004413613.1,xm_004270424.1,xm_002710941.3,xm_003798471.1,xm_015099673.1,xm_003810629.2,xm_525279.3,xm_017945063.1,xm_002830010.2,xm_012653120.1,xm_011370848.1,xm_010369100.1,xm_016156058.1,xm_003933151.2,xm_004614415.1,xm_003359915.3,xm_004376421.1,xm_006163624.1,xm_019927609.1
NOG,Opiods,NM_005450,nm_001265629.1,nm_008711.2,nm_012990.1,xm_019795727.1,xm_012460453.1,xm_582573.9,xm_002748399.3,xm_010990519.1,xm_005624988.1,xm_013971792.2,xm_005008345.2,xm_004434751.2,xm_012054883.1,xm_005394073.2,xm_008011393.1,xm_006832406.1,xm_004684399.2,xm_007634216.2,xm_004481252.2,xm_013037822.1,xm_004707032.2,xm_006889263.1,xm_008147742.1,,xm_007526692.1,xm_011279931.2,xm_008580859.1,xm_019026567.1,xm_004859790.1,xm_005321598.1,xm_004669979.1,xm_003414604.2,xm_005583787.2,xm_011732968.1,xm_011979238.1,xm_017654997.1,xm_005075810.2,xm_012741827.2,xm_005350519.1,,xm_007481842.2,xm_004747353.2,xm_008838436.2,xm_003272285.2,xm_004591001.2,xm_004645279.1,xm_004405187.1,xm_004271794.2,xm_002719279.3,xm_003795558.2,nm_001174110.1,xm_003817410.2,xm_523802.5,xm_003912784.3,xm_002827353.3,xm_012665691.1,xm_011365003.1,xm_010380650.1,xm_016155130.1,xm_003931333.2,xm_004608646.1,nm_001143691.1,xm_004377901.2,xm_006172059.2,xm_019945282.1
NPTX1,4,NM_002522,nm_001266044.1,nm_008730.2,nm_153735.2,xm_019802349.1,xm_012452749.1,nm_001192354.1,xm_008997879.1,xm_011000096.1,xm_540475.4,xm_018063634.1,xm_013147144.1,xm_004432843.1,xm_012066209.1,xm_013506119.1,xm_008013196.1,xm_006869520.1,xm_012734563.1,xm_007654403.1,xm_004454619.2,xm_013036248.1,xm_004709242.1,xm_006886163.1,xm_008155149.1,xm_014736453.1,xm_007538193.2,xm_003997297.4,xm_008589677.1,xm_019026213.1,xm_004860897.2,xm_005332636.1,xm_004655256.2,xm_003417345.1,xm_005585209.2,xm_011720140.1,xm_011992288.1,xm_017642449.1,xm_005069834.2,xm_012789476.1,xm_005350836.1,xm_016206279.1,xm_001380102.3,xm_013054318.1,xm_008828828.1,xm_003280943.3,xm_004592851.1,xm_004639507.2,xm_004404507.1,xm_004275552.1,xm_008253089.2,xm_003786072.1,xm_004013084.3,xm_008956534.1,xm_016933097.1,xm_003913540.2,xm_002827926.3,xm_012642746.1,xm_011379720.1,xm_010354260.1,xm_016143311.1,xm_003931838.2,xm_004621044.1,xm_003131134.4,xm_004374361.1,xm_006145669.1,xm_019930668.1
NPTXR,4,NM_014293,xm_015150374.1,nm_030689.4,nm_030841.3,xm_019794475.1,xm_012458896.1,xm_003586153.3,xm_017963814.1,xm_010983565.1,xm_005626216.2,xm_018049072.1,xm_013153060.1,xm_004438023.2,xm_012032062.1,xm_005379659.2,xm_007975786.1,xm_006865265.1,xm_012720291.1,xm_007627572.2,xm_012526750.1,xm_013024891.1,xm_004700669.1,xm_006890204.1,xm_008144912.1,xm_005606744.2,xm_007519305.2,xm_019835885.1,xm_008566900.1,xm_004063494.2,xm_013072479.1,xm_005322421.1,xm_012948731.1,xm_010599372.1,xm_015456973.1,xm_011712545.1,xm_011979124.1,xm_017664041.1,xm_013111211.1,xm_020287711.1,xm_013348741.1,xm_016205264.1,xm_016425447.1,xm_004743263.2,xm_008851241.2,xm_012507618.1,xm_004589751.1,xm_012515452.1,xm_012565996.1,xm_004279637.2,xm_008257055.1,xm_012801109.1,xm_015095030.1,xm_008975137.1,xm_016939607.1,xm_009217305.2,xm_009234380.1,xm_012638069.1,xm_011354453.1,xm_010389291.1,xm_016161637.1,xm_010343587.1,xm_004610711.1,xm_013988191.1,xm_004374042.1,xm_006155381.1,xm_019944749.1
